"filename", "language", "JSON", "Markdown", "JSON with Comments", "YAML", "TypeScript", "PostCSS", "Ignore", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 4, 42
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\faq-accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 5, 88
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\feature-cards-with-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 7, 63
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 56
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\image-link-cards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 5, 51
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\rich-text-block.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\sections\subscribe-newsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 2, 5, 90
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\site-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 9, 69
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\social-icons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 5, 78
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\static\pagebuilder-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 5, 8, 70
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\theme-overrides.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\context\SiteConfigProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 31
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\hooks\use-blog-search.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 9, 47
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\hooks\use-debounce.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\hooks\use-is-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 10, 66
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\lib\generate-theme-overrides.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 4, 45
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\lib\navigation.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
